Mouse_id,Shank,Clu,Area,Layer,WVF_ratio,WVF_duration,Bl_ctr_row,Bl_ctr_col,Wh_ctr_row,Wh_ctr_col,Bl_rad,Wh_rad,Bl_lat,Wh_lat,Bl_mfr,Wh_mfr,Bl_SI,Wh_SI,Area_Overlap,Area_Union,OverlapIdx,PSTH_correln,Subfield_sep,Bl_stimc,Wh_stimc,Bl_chk_num,Wh_chk_num,Spont,Spont_cyc,Pref_ori,Pref_SF,Pref_TF,Max_rate,Max_rate_cyc,F0_pref,Sharp,CV,OSI,OSI_wnull,DSI_sev,DSI_chen,f1f0b,f1f0,Pval,F0_TF1,F0_TF2,F0_TF4,F0_TF8,F0_TF15,F1_TF1,F1_TF2,F1_TF4,F1_TF8,F1_TF15
60,3,17,1,NaN,0.21988379,0.275,8,11,8,12,6.327865943,6.701237761,193.5,78.5,37.37712406,45.7133433,0.444857153,0.456371041,104.5350786,162.3384262,0.643933054,0.35553935,4,188,206,11,5,10.43555556,10.72222222,225,0.02,15,66.66666667,66.66666667,15.72222222,0.747699387,0.109007838,0.161025641,0.497234173,-0.070607553,-0.151943463,1.587591025,4.992091778,0.001231846,10.44444444,11.44444444,12.44444444,13.44444444,14.44444444,15.44444444,16.44444444,17.44444444,18.44444444,19.44444444
61,3,2,1,NaN,0.217966289,0.275,10,9,9,11,16.52292262,8.516929279,120.5,87.5,31.04554547,33.76316153,0.510116736,0.418572618,222.5870387,862.9747717,0.257929949,0.668366904,8.94427191,154,189,7,6,2.620952381,2.650793651,180,0.04,8,100,80.95238095,15.23809524,0.428125,0.261312339,0.610062893,0.698736638,0.464530892,0.634375,0.803898246,0.973193337,0.006674439,5.666666667,3.619047619,8.19047619,15.23809524,3.904761905,2.677247676,1.879182797,6.742832439,12.24987804,3.509487327
73,5,14,1,NaN,0.403757221,0.1,9,12,10,11,23.60903496,10.13939494,99.5,182.5,24.94225614,16.10278371,0.510265909,0.542734315,98.21814403,1975.842041,0.049709512,0.474228965,5.656854249,207,190,7,11,2.2,2,90,0.02,4,87.5,45.83333333,19.75,0.850140713,0.041302918,0.029315961,0.369089626,-0.022680412,-0.046413502,0.326612259,0.36341364,0.000343899,18.83333333,16.5,19.75,18.625,16.95833333,6.325000537,3.901611464,6.450592115,13.91496496,9.869628164
73,5,24,1,NaN,0.314723274,0.4,9,10,9,10,4.541621803,1.727334002,98.5,131.5,29.1787525,10.99404131,0.451261624,0.411681223,9.37351582,64.79952241,0.144654088,0.382149377,0,171,171,6,8,0.6,0.5,45,0.16,4,37.5,16.66666667,5.291666667,0.431102362,0.486649606,0.687707641,0.828153565,0.016,0.031496063,0.630096291,0.695845469,0.029047724,2.125,5,5.291666667,4.75,0.625,1.586805628,2.579259347,3.334259537,2.30995181,0.564028931
75,2,14,1,NaN,0.142546732,0.425,8,8,7,5,29.57267929,25.99540155,112.5,169.5,43.1770015,30.45673398,0.643575616,0.507588764,847.4201694,4023.004312,0.210643615,0.578750606,12.64911064,134,79,7,10,11.9,15,90,0.32,4,75,50,25.33333333,0.577919408,0.299900872,0.559974343,0.745643307,0.033135089,0.064144737,0.240499114,0.589610732,0.008356979,21.66666667,16.54166667,25.33333333,16,14.20833333,7.120547858,4.453865703,6.092644228,4.714501425,3.586799092
75,3,12,1,NaN,0.045806832,0.35,7,9,8,9,3.652408635,1.029283045,74.5,105.5,50.48434961,19.19976844,0.57805952,0.496553402,0.067924028,45.16947841,0.001503759,0.463704924,4,151,152,5,7,3.9,2.75,90,0.16,4,50,45.83333333,17.58333333,0.441646919,0.181271486,0.464006938,0.547915143,0.595463138,0.746445498,0.836846909,0.991992685,0.001800185,11.04166667,11.5,17.58333333,11,8.041666667,6.885552531,6.495778681,14.71455815,11.77583318,5.816827922
78,2,8,1,NaN,0.337036581,0.3,6,11,7,10,4.865683305,4.845646089,148.5,108.5,25.39909748,20.21502353,0.4358264,0.550653522,31.38090079,116.7614036,0.268760908,0.209763145,5.656854249,186,169,9,5,3,2.25,180,0.16,15,50,33.33333333,13.70833333,0.488981763,0.27877874,0.602923264,0.728106756,0.27027027,0.425531915,0.35278986,0.42206496,0.001579724,5.708333333,7.375,7.25,7.541666667,13.70833333,2.465575603,3.101341176,3.666361028,2.655445907,4.836161001
78,3,13,1,NaN,0.146747351,0.3,5,7,5,8,5.36647229,1.800870186,79.5,109.5,40.72018458,16.63837297,0.497626777,0.479883721,10.18860415,90.47480487,0.112612613,0.398203514,4,113,131,5,7,4.1,2.25,315,0.08,4,62.5,37.5,13.5,0.602623457,0.21507263,0.367088608,0.613899614,0.033492823,0.064814815,1.364038002,1.636845602,6.12E-06,9.083333333,11.41666667,13.5,11.70833333,5.666666667,6.518626565,11.17129891,18.41451302,18.08773131,7.404301371
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,36,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
